PedidoID,DataHoraVenda,ClienteID,ProdutoID,Canal,Qtde,PrecoUnitario,DescontoPct,ValorBruto,ValorDesconto,ValorLiquido
PED0026495,2024-07-13 13:13:03,CLI001717,PROD000057,Ecommerce,3,981.71,0.078,2945.13,229.72,2715.41
PED0006643,2025-07-12 11:40:39,CLI001867,PROD000136,Ecommerce,1,165.11,0.198,165.11,32.69,132.42
PED0034136,2024-08-29 19:13:31,CLI000108,PROD000144,Ecommerce,1,1193.13,0.028,1193.13,33.41,1159.72
PED0000087,2024-01-27 13:29:22,CLI000549,PROD000086,Marketplace,1,894.15,0.058,894.15,51.86,842.29
PED0021288,2023-06-26 17:39:03,CLI001201,PROD000061,Ecommerce,1,882.04,0.0,882.04,0.0,882.04
PED0012645,2024-12-26 21:56:01,CLI000268,PROD000050,Marketplace,1,386.41,0.048,386.41,18.55,367.86
PED0022477,2025-02-19 18:09:26,CLI000659,PROD000138,Ecommerce,1,163.39,0.109,163.39,17.81,145.58
PED0031570,2025-03-18 18:39:14,CLI000064,PROD000037,Marketplace,1,1231.51,0.077,1231.51,94.83,1136.68
PED0008582,2024-04-15 00:43:44,CLI001045,PROD000034,Ecommerce,1,988.28,0.108,988.28,106.73,881.55
PED0042667,2024-07-15 11:53:08,CLI000709,PROD000004,Marketplace,2,83.56,0.11,167.12,18.38,148.74
PED0025897,2024-03-01 02:01:30,CLI001699,PROD000123,Ecommerce,1,843.65,0.137,843.65,115.58,728.07
PED0008609,2023-09-28 18:52:19,CLI001549,PROD000114,Marketplace,1,615.3,0.0,615.3,0.0,615.3
PED0011521,2024-10-30 16:46:08,CLI001187,PROD000011,Loja Física,1,136.79,0.132,136.79,18.06,118.73
PED0029671,2024-01-14 20:21:42,CLI000890,PROD000139,Marketplace,1,831.93,0.094,831.93,78.2,753.73
PED0027490,2025-06-16 14:46:00,CLI001960,PROD000105,Loja Física,1,657.9,0.121,657.9,79.61,578.29
PED0026836,2024-07-08 20:45:04,CLI001572,PROD000063,Ecommerce,1,190.58,0.008,190.58,1.52,189.06
PED0031146,2024-10-06 12:00:18,CLI001117,PROD000091,Ecommerce,2,637.66,0.0,1275.32,0.0,1275.32
PED0043120,2024-03-23 20:18:49,CLI001292,PROD000045,Ecommerce,3,212.53,0.022,637.59,14.03,623.56
PED0002159,2025-03-23 11:22:20,CLI000971,PROD000034,Loja Física,1,1103.72,0.103,1103.72,113.68,990.04
PED0039920,2025-04-24 13:38:03,CLI000007,PROD000131,Ecommerce,2,227.74,0.083,455.48,37.8,417.68
PED0005946,2023-12-29 08:19:03,CLI000940,PROD000035,Loja Física,2,421.15,0.043,842.3,36.22,806.08
PED0042870,2024-02-06 07:28:03,CLI001379,PROD000003,Ecommerce,1,550.12,0.163,550.12,89.67,460.45
PED0040254,2024-07-26 09:44:58,CLI001259,PROD000111,Loja Física,1,100.86,0.082,100.86,8.27,92.59
PED0036089,2025-07-26 14:23:04,CLI001085,PROD000135,Ecommerce,1,654.45,0.043,654.45,28.14,626.31
PED0031942,2025-04-12 17:15:00,CLI001957,PROD000145,Marketplace,1,393.51,0.009,393.51,3.54,389.97
PED0043296,2023-03-11 19:25:10,CLI000725,PROD000147,Marketplace,1,787.16,0.163,787.16,128.31,658.85
PED0002843,2025-06-01 15:10:47,CLI001614,PROD000136,Ecommerce,2,144.24,0.067,288.48,19.33,269.15
PED0000178,2025-03-24 09:44:35,CLI001515,PROD000149,Loja Física,1,225.65,0.0,225.65,0.0,225.65
PED0023245,2024-10-30 14:32:10,CLI001912,PROD000009,Ecommerce,1,535.35,0.115,535.35,61.57,473.78
PED0032696,2024-01-05 13:46:01,CLI000822,PROD000121,Loja Física,2,838.93,0.0,1677.86,0.0,1677.86
PED0020962,2023-12-11 14:17:13,CLI001449,PROD000083,Ecommerce,1,381.47,0.065,381.47,24.8,356.67
PED0023553,2024-06-15 12:02:31,CLI001522,PROD000070,Ecommerce,2,156.43,0.089,312.86,27.84,285.02
PED0006959,2025-05-30 05:34:11,CLI000633,PROD000141,Ecommerce,2,987.35,0.136,1974.7,268.56,1706.14
PED0037205,2024-10-22 16:02:05,CLI000440,PROD000125,Ecommerce,1,288.78,0.013,288.78,3.75,285.03
PED0031167,2025-08-07 18:12:12,CLI000102,PROD000018,Ecommerce,1,1124.94,0.044,1124.94,49.5,1075.44
PED0039855,2024-04-01 22:13:53,CLI001212,PROD000065,Ecommerce,1,516.37,0.065,516.37,33.56,482.81
PED0030347,2023-05-16 17:40:56,CLI000943,PROD000104,Ecommerce,1,510.31,0.028,510.31,14.29,496.02
PED0012139,2024-10-02 16:32:37,CLI000605,PROD000145,Marketplace,1,370.83,0.0,370.83,0.0,370.83
PED0000295,2024-05-07 22:06:38,CLI001648,PROD000071,Ecommerce,1,852.19,0.069,852.19,58.8,793.39
PED0004366,2025-07-26 00:20:41,CLI001784,PROD000138,Marketplace,1,182.05,0.063,182.05,11.47,170.58
PED0000684,2024-05-22 22:02:52,CLI001972,PROD000125,Ecommerce,2,293.18,0.138,586.36,80.92,505.44
PED0031284,2025-07-17 18:51:32,CLI001450,PROD000057,Marketplace,2,942.92,0.052,1885.84,98.06,1787.78
PED0035272,2025-07-22 19:12:10,CLI000780,PROD000006,Loja Física,3,375.93,0.176,1127.79,198.49,929.3
PED0034908,2025-05-22 13:23:13,CLI001795,PROD000096,Marketplace,1,949.9,0.13,949.9,123.49,826.41
PED0013586,2024-08-17 22:23:31,CLI000561,PROD000013,Ecommerce,1,1268.58,0.008,1268.58,10.15,1258.43
PED0034722,2024-11-05 11:57:16,CLI000357,PROD000003,Ecommerce,1,548.96,0.024,548.96,13.18,535.78
PED0042209,2024-07-13 18:24:24,CLI001717,PROD000068,Ecommerce,1,564.52,0.143,564.52,80.73,483.79
PED0029545,2024-10-10 15:12:14,CLI000558,PROD000145,Marketplace,3,376.83,0.035,1130.49,39.57,1090.92
PED0007599,2025-07-02 02:32:25,CLI001219,PROD000033,Loja Física,1,897.46,0.115,897.46,103.21,794.25
PED0031236,2024-09-07 18:28:27,CLI000806,PROD000149,Marketplace,1,246.4,0.096,246.4,23.65,222.75
PED0026918,2023-11-09 06:35:22,CLI001595,PROD000047,Ecommerce,2,357.7,0.023,715.4,16.45,698.95
