PedidoID,DataHoraVenda,ClienteID,ProdutoID,Canal,Qtde,PrecoUnitario,DescontoPct,ValorBruto,ValorDesconto,ValorLiquido
PED0038442,2024-08-15 23:41:49,CLI000371,PROD000017,Ecommerce,1,458.13,0.065,458.13,29.78,428.35
PED0034793,2023-11-19 02:43:22,CLI001241,PROD000067,Marketplace,1,219.92,0.095,219.92,20.89,199.03
PED0018846,2025-07-31 00:40:35,CLI000436,PROD000066,Loja Física,1,93.59,0.004,93.59,0.37,93.22
PED0021172,2025-02-12 11:52:41,CLI001096,PROD000056,Ecommerce,1,364.34,0.104,364.34,37.89,326.45
PED0028214,2023-03-23 09:34:02,CLI001218,PROD000100,Ecommerce,2,205.71,0.078,411.42,32.09,379.33
PED0004548,2024-08-12 13:24:20,CLI000002,PROD000127,Loja Física,1,1184.18,0.06,1184.18,71.05,1113.13
PED0023921,2025-06-24 12:35:57,CLI001708,PROD000077,Marketplace,4,592.42,0.096,2369.68,227.49,2142.19
PED0009591,2024-06-01 10:40:05,CLI000968,PROD000014,Ecommerce,1,927.46,0.11,927.46,102.02,825.44
PED0006549,2025-02-20 19:44:44,CLI001309,PROD000090,Ecommerce,2,878.56,0.074,1757.12,130.03,1627.09
PED0029989,2024-02-08 05:33:59,CLI001706,PROD000114,Ecommerce,5,727.6,0.042,3638.0,152.8,3485.2
PED0027886,2023-09-30 14:26:18,CLI001761,PROD000087,Ecommerce,1,992.25,0.005,992.25,4.96,987.29
PED0002491,2023-07-25 08:12:16,CLI000976,PROD000077,Loja Física,1,685.86,0.071,685.86,48.7,637.16
PED0004615,2024-02-29 01:02:17,CLI000435,PROD000010,Ecommerce,2,68.65,0.054,137.3,7.41,129.89
PED0027602,2024-09-17 20:28:34,CLI000190,PROD000060,Ecommerce,1,1041.03,0.006,1041.03,6.25,1034.78
PED0030456,2025-03-14 23:04:04,CLI001504,PROD000054,Loja Física,1,953.16,0.057,953.16,54.33,898.83
PED0034407,2024-11-16 16:01:53,CLI000385,PROD000149,Ecommerce,2,265.79,0.024,531.58,12.76,518.82
PED0043126,2025-06-02 16:50:09,CLI000301,PROD000037,Ecommerce,2,1019.93,0.0,2039.86,0.0,2039.86
PED0027469,2023-03-25 18:41:03,CLI000312,PROD000148,Ecommerce,1,495.79,0.1,495.79,49.58,446.21
PED0044240,2024-12-30 20:37:53,CLI001313,PROD000013,Loja Física,2,1274.62,0.121,2549.24,308.46,2240.78
PED0042743,2023-09-19 19:09:34,CLI001279,PROD000139,Ecommerce,1,857.75,0.088,857.75,75.48,782.27
PED0024142,2024-10-21 00:05:04,CLI000045,PROD000122,Ecommerce,2,169.21,0.077,338.42,26.06,312.36
PED0018562,2023-07-07 13:01:51,CLI001726,PROD000111,Loja Física,2,97.88,0.163,195.76,31.91,163.85
PED0004429,2025-02-05 13:18:21,CLI001926,PROD000127,Marketplace,2,1065.19,0.075,2130.38,159.78,1970.6
PED0028036,2025-07-20 04:24:05,CLI001798,PROD000054,Ecommerce,1,864.29,0.063,864.29,54.45,809.84
PED0006397,2024-12-20 18:35:23,CLI001481,PROD000010,Marketplace,2,75.57,0.026,151.14,3.93,147.21
PED0044302,2025-02-20 05:18:50,CLI001745,PROD000063,Ecommerce,2,202.55,0.01,405.1,4.05,401.05
PED0034523,2023-09-29 09:37:07,CLI001200,PROD000118,Ecommerce,1,510.33,0.03,510.33,15.31,495.02
PED0003987,2025-02-08 11:47:00,CLI001416,PROD000065,Ecommerce,1,542.73,0.051,542.73,27.68,515.05
PED0031260,2024-09-11 18:40:27,CLI000473,PROD000030,Ecommerce,1,746.68,0.022,746.68,16.43,730.25
PED0026524,2023-08-29 19:00:57,CLI000621,PROD000003,Ecommerce,1,471.25,0.03,471.25,14.14,457.11
PED0042938,2024-06-18 15:25:07,CLI000919,PROD000110,Ecommerce,2,399.77,0.108,799.54,86.35,713.19
PED0037693,2025-08-04 05:56:00,CLI000286,PROD000014,Ecommerce,1,1202.56,0.084,1202.56,101.02,1101.54
PED0037640,2025-04-26 00:56:12,CLI001013,PROD000114,Ecommerce,1,599.94,0.12,599.94,71.99,527.95
PED0015582,2024-09-16 20:58:20,CLI000491,PROD000139,Ecommerce,2,709.74,0.012,1419.48,17.03,1402.45
PED0038524,2024-09-07 17:45:29,CLI000568,PROD000143,Ecommerce,3,743.56,0.047,2230.68,104.84,2125.84
PED0038216,2023-08-14 18:36:16,CLI000411,PROD000148,Loja Física,2,510.12,0.139,1020.24,141.81,878.43
PED0015624,2025-01-29 10:40:10,CLI001432,PROD000009,Loja Física,1,465.42,0.119,465.42,55.38,410.04
PED0033744,2024-05-02 18:00:47,CLI000900,PROD000114,Ecommerce,1,589.69,0.031,589.69,18.28,571.41
PED0020598,2025-04-03 10:06:18,CLI001716,PROD000001,Ecommerce,2,353.56,0.027,707.12,19.09,688.03
PED0016905,2024-11-07 00:37:32,CLI000789,PROD000095,Ecommerce,1,949.21,0.038,949.21,36.07,913.14
